date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:05	45422/45422	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-b16e%22	https://html.awaikenthemes.com/weebix/index.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/index.html	(from )
16:07:05	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c54045-1a%22	https://html.awaikenthemes.com/robots.txt		(from )
16:07:05	2494/2494	---M--	200	added ('OK')	image/png	etag:%2267c69b3d-9be%22	https://html.awaikenthemes.com/weebix/images/favicon.png	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/favicon.png	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:05	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-38d63%22	https://html.awaikenthemes.com/weebix/css/bootstrap.min.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/bootstrap.min.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:06	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-9c9%22	https://html.awaikenthemes.com/weebix/css/slicknav.min.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/slicknav.min.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:06	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-4809%22	https://html.awaikenthemes.com/weebix/css/swiper-bundle.min.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:06	140292/140292	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-22404%22	https://html.awaikenthemes.com/weebix/css/all.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/all.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:06	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-12c09%22	https://html.awaikenthemes.com/weebix/css/animate.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/animate.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:06	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-1b27%22	https://html.awaikenthemes.com/weebix/css/magnific-popup.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/magnific-popup.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:07	60741/60741	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3d-ed45%22	https://html.awaikenthemes.com/weebix/css/custom.css	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/css/custom.css	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:07	3946/3946	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b3d-f6a%22	https://html.awaikenthemes.com/weebix/images/loader.svg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/loader.svg	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:07	3965/3965	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b3d-f7d%22	https://html.awaikenthemes.com/weebix/images/logo.svg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/logo.svg	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:07	44934/44934	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-af86%22	https://html.awaikenthemes.com/weebix/index-2.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/index-3.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:08	47880/47880	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-bb08%22	https://html.awaikenthemes.com/weebix/index-3.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/index-4.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:08	45422/45422	---MCZ	200	added ('OK')	text/html	etag:W/%22b16e-62f7e3e42f538%22	https://html.awaikenthemes.com/weebix/	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/index-2.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:08	40729/40729	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-9f19%22	https://html.awaikenthemes.com/weebix/about.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/about.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:08	34235/34235	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-85bb%22	https://html.awaikenthemes.com/weebix/services.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/services.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:09	16162/16162	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-3f22%22	https://html.awaikenthemes.com/weebix/portfolio.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/portfolio.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:09	17776/17776	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-4570%22	https://html.awaikenthemes.com/weebix/blog.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/blog.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:09	31601/31601	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-7b71%22	https://html.awaikenthemes.com/weebix/service-single.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/service-single.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:09	16509/16509	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-407d%22	https://html.awaikenthemes.com/weebix/portfolio-single.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/portfolio-single.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:09	17703/17703	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-4527%22	https://html.awaikenthemes.com/weebix/blog-single.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/blog-single.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:10	19228/19228	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-4b1c%22	https://html.awaikenthemes.com/weebix/faqs.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/faqs.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:10	11352/11352	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-2c58%22	https://html.awaikenthemes.com/weebix/404.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/404.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:10	17536/17536	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3d-4480%22	https://html.awaikenthemes.com/weebix/contact-us.html	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/contact-us.html	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:10	164202/164202	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b3d-2816a%22	https://html.awaikenthemes.com/weebix/images/hero-img.jpg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/hero-img.jpg	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:11	177304/177304	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b3d-2b498%22	https://html.awaikenthemes.com/weebix/images/about-us-img.jpg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/about-us-img.jpg	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:11	7123/7123	---M--	200	added ('OK')	image/png	etag:%2267c69b3d-1bd3%22	https://html.awaikenthemes.com/weebix/images/about-circle.png	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/about-circle.png	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:11	241/241	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b3d-f1%22	https://html.awaikenthemes.com/weebix/images/arrow.svg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/arrow.svg	(from https://html.awaikenthemes.com/weebix/index.html)
16:07:11	109438/109438	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b3d-1ab7e%22	https://html.awaikenthemes.com/weebix/images/service-img-1.jpg	C:/My%20Web%20Sites/landing-page/html.awaikenthemes.com/weebix/images/service-img-1.jpg	(from https://html.awaikenthemes.com/weebix/index.html)
